ch |    x16 |   x10 |
lu | 0x756c | 30060 |
lv | 0x766c | 30316 |
lw | 0x776c | 30572 |
lx | 0x786c | 30828 |
ly | 0x796c | 31084 |
lz | 0x7a6c | 31340 |
ma | 0x616d | 24941 |
mb | 0x626d | 25197 |
mc | 0x636d | 25453 |
md | 0x646d | 25709 |
me | 0x656d | 25965 |
mf | 0x666d | 26221 |
mg | 0x676d | 26477 |
mh | 0x686d | 26733 |
mi | 0x696d | 26989 |
mj | 0x6a6d | 27245 |
mk | 0x6b6d | 27501 |
ml | 0x6c6d | 27757 |
mm | 0x6d6d | 28013 |
mn | 0x6e6d | 28269 |
mo | 0x6f6d | 28525 |
mp | 0x706d | 28781 |
mq | 0x716d | 29037 |
mr | 0x726d | 29293 |
ms | 0x736d | 29549 |
mt | 0x746d | 29805 |
mu | 0x756d | 30061 |
mv | 0x766d | 30317 |
mw | 0x776d | 30573 |
mx | 0x786d | 30829 |
my | 0x796d | 31085 |
mz | 0x7a6d | 31341 |
na | 0x616e | 24942 |
nb | 0x626e | 25198 |
nc | 0x636e | 25454 |
nd | 0x646e | 25710 |
ne | 0x656e | 25966 |
nf | 0x666e | 26222 |
ng | 0x676e | 26478 |
nh | 0x686e | 26734 |
ni | 0x696e | 26990 |
nj | 0x6a6e | 27246 |
nk | 0x6b6e | 27502 |
nl | 0x6c6e | 27758 |
nm | 0x6d6e | 28014 |
nn | 0x6e6e | 28270 |
no | 0x6f6e | 28526 |
np | 0x706e | 28782 |
nq | 0x716e | 29038 |
nr | 0x726e | 29294 |
ns | 0x736e | 29550 |
nt | 0x746e | 29806 |
nu | 0x756e | 30062 |
nv | 0x766e | 30318 |
nw | 0x776e | 30574 |
nx | 0x786e | 30830 |
ny | 0x796e | 31086 |
nz | 0x7a6e | 31342 |
oa | 0x616f | 24943 |
ob | 0x626f | 25199 |
oc | 0x636f | 25455 |
od | 0x646f | 25711 |
oe | 0x656f | 25967 |
of | 0x666f | 26223 |
og | 0x676f | 26479 |
oh | 0x686f | 26735 |
oi | 0x696f | 26991 |
oj | 0x6a6f | 27247 |
ok | 0x6b6f | 27503 |
ol | 0x6c6f | 27759 |
om | 0x6d6f | 28015 |
on | 0x6e6f | 28271 |
oo | 0x6f6f | 28527 |
op | 0x706f | 28783 |
oq | 0x716f | 29039 |
or | 0x726f | 29295 |
os | 0x736f | 29551 |
ot | 0x746f | 29807 |
ou | 0x756f | 30063 |
ov | 0x766f | 30319 |
ow | 0x776f | 30575 |
ox | 0x786f | 30831 |
oy | 0x796f | 31087 |
oz | 0x7a6f | 31343 |
pa | 0x6170 | 24944 |
pb | 0x6270 | 25200 |
pc | 0x6370 | 25456 |
pd | 0x6470 | 25712 |
pe | 0x6570 | 25968 |
pf | 0x6670 | 26224 |
pg | 0x6770 | 26480 |
ph | 0x6870 | 26736 |
pi | 0x6970 | 26992 |
pj | 0x6a70 | 27248 |
pk | 0x6b70 | 27504 |
pl | 0x6c70 | 27760 |
pm | 0x6d70 | 28016 |
pn | 0x6e70 | 28272 |
po | 0x6f70 | 28528 |
pp | 0x7070 | 28784 |
pq | 0x7170 | 29040 |
pr | 0x7270 | 29296 |
ps | 0x7370 | 29552 |
pt | 0x7470 | 29808 |
pu | 0x7570 | 30064 |
pv | 0x7670 | 30320 |
pw | 0x7770 | 30576 |
px | 0x7870 | 30832 |
py | 0x7970 | 31088 |
pz | 0x7a70 | 31344 |
qa | 0x6171 | 24945 |
qb | 0x6271 | 25201 |
qc | 0x6371 | 25457 |
qd | 0x6471 | 25713 |
qe | 0x6571 | 25969 |
qf | 0x6671 | 26225 |
qg | 0x6771 | 26481 |
qh | 0x6871 | 26737 |
qi | 0x6971 | 26993 |
qj | 0x6a71 | 27249 |
qk | 0x6b71 | 27505 |
ql | 0x6c71 | 27761 |
qm | 0x6d71 | 28017 |
qn | 0x6e71 | 28273 |
qo | 0x6f71 | 28529 |
qp | 0x7071 | 28785 |
qq | 0x7171 | 29041 |
qr | 0x7271 | 29297 |
qs | 0x7371 | 29553 |
